"AccessionID","Clade"
"EPI_ISL_5536447","GK"
"EPI_ISL_5536448","GK"
"EPI_ISL_5536449","GK"
"EPI_ISL_5536450","GK"
"EPI_ISL_5536451","GK"
"EPI_ISL_5536452","GK"
"EPI_ISL_5536453","GK"
"EPI_ISL_5536454","GK"
"EPI_ISL_5536455","GK"
"EPI_ISL_5536456","GK"
"EPI_ISL_5536457","GK"
"EPI_ISL_5583912","GK"
"EPI_ISL_5742645","GK"
"EPI_ISL_5742653","GK"
"EPI_ISL_5742654","GK"
"EPI_ISL_5742659","GK"
"EPI_ISL_5742660","GK"
"EPI_ISL_5742665","GK"
"EPI_ISL_5742666","GK"
"EPI_ISL_5742667","GK"
"EPI_ISL_5742674","GK"
"EPI_ISL_5742675","GK"
"EPI_ISL_5742681","GK"
"EPI_ISL_5742682","GK"
"EPI_ISL_5742690","GK"
"EPI_ISL_5742692","GK"
"EPI_ISL_5742693","GK"
"EPI_ISL_5742697","GK"
"EPI_ISL_5742698","GK"
"EPI_ISL_5742704","GK"
"EPI_ISL_5778211","GK"
"EPI_ISL_5782318","GK"
"EPI_ISL_5782319","GH"
"EPI_ISL_5782323","GH"
"EPI_ISL_5782328","G"
"EPI_ISL_5782329","GK"
"EPI_ISL_5782332","GK"
"EPI_ISL_5782336","GK"
"EPI_ISL_5782340","GK"
"EPI_ISL_5782345","GK"
"EPI_ISL_5782350","GK"
"EPI_ISL_5782353","GK"
"EPI_ISL_5782398","GK"
"EPI_ISL_5782402","GK"
"EPI_ISL_5782404","GK"
"EPI_ISL_5804668","GK"
"EPI_ISL_5804669","GK"
"EPI_ISL_5804674","GK"
"EPI_ISL_5804676","GK"
"EPI_ISL_5804681","GK"
"EPI_ISL_5804685","GK"
"EPI_ISL_5804690","GK"
"EPI_ISL_5804692","GK"
"EPI_ISL_5804695","GK"
"EPI_ISL_5804697","GK"
"EPI_ISL_5804703","GK"
"EPI_ISL_5850343","GK"
"EPI_ISL_5850346","GK"
"EPI_ISL_5850347","GK"
"EPI_ISL_5850351","GK"
"EPI_ISL_5850356","GK"
"EPI_ISL_5850359","GK"
"EPI_ISL_5850364","GK"
"EPI_ISL_5850371","GK"
"EPI_ISL_5850419","GK"
"EPI_ISL_5850449","GK"
"EPI_ISL_5850453","GK"
"EPI_ISL_5850456","GK"
"EPI_ISL_5850457","GK"
"EPI_ISL_5850459","GK"
"EPI_ISL_5850461","GK"
"EPI_ISL_5850481","GK"
"EPI_ISL_5852155","GK"
"EPI_ISL_5852386","GK"
"EPI_ISL_5852400","GK"
"EPI_ISL_5852401","GK"
"EPI_ISL_5852404","GK"
"EPI_ISL_5852407","GK"
"EPI_ISL_5852485","GK"
"EPI_ISL_5852487","GK"
"EPI_ISL_5852492","GK"
"EPI_ISL_5852601","GK"
"EPI_ISL_5852720","GK"
"EPI_ISL_5852761","GK"
"EPI_ISL_5852766","GK"
"EPI_ISL_5852771","GK"
"EPI_ISL_5852775","GK"
"EPI_ISL_5852778","GK"
"EPI_ISL_5852782","GK"
"EPI_ISL_5881264","GK"
"EPI_ISL_5881265","GK"
"EPI_ISL_5881266","GK"
"EPI_ISL_5881267","GK"
"EPI_ISL_5881268","GK"
"EPI_ISL_5881269","GK"
"EPI_ISL_5881270","GK"
"EPI_ISL_5881271","GK"
"EPI_ISL_5881272","GK"
"EPI_ISL_5881273","GK"
"EPI_ISL_5881274","GK"
"EPI_ISL_5881275","GK"
"EPI_ISL_5881276","GK"
"EPI_ISL_5881277","GK"
"EPI_ISL_5881278","GK"
"EPI_ISL_5881279","GK"
"EPI_ISL_5881280","GK"
"EPI_ISL_5881281","GK"
"EPI_ISL_5881282","GK"
"EPI_ISL_5881283","GK"
"EPI_ISL_5881284","GK"
"EPI_ISL_5881285","GK"
"EPI_ISL_5881286","GK"
"EPI_ISL_5881287","GK"
"EPI_ISL_5881288","GK"
"EPI_ISL_5893712","GK"
"EPI_ISL_5893717","GK"
"EPI_ISL_5893721","GK"
"EPI_ISL_5893725","GK"
"EPI_ISL_5893737","GK"
"EPI_ISL_5893741","GK"
"EPI_ISL_5893746","GK"
"EPI_ISL_5893758","GK"
"EPI_ISL_5893765","GK"
"EPI_ISL_5893773","GK"
"EPI_ISL_5893783","GK"
"EPI_ISL_5893792","GK"
"EPI_ISL_5893803","GK"
"EPI_ISL_5893806","GK"
"EPI_ISL_5893816","GK"
"EPI_ISL_5893821","GK"
"EPI_ISL_5893827","GK"
"EPI_ISL_5893839","GK"
"EPI_ISL_5893844","GK"
"EPI_ISL_5893851","GK"
"EPI_ISL_5893858","GK"
"EPI_ISL_5893862","O"
"EPI_ISL_5893867","O"
"EPI_ISL_5893875","O"
"EPI_ISL_5893881","O"
"EPI_ISL_5893901","GK"
"EPI_ISL_5893909","GK"
"EPI_ISL_5893918","GK"
"EPI_ISL_5893924","GK"
"EPI_ISL_5893932","GK"
"EPI_ISL_5893939","GK"
"EPI_ISL_5893950","GK"
"EPI_ISL_5893955","GK"
"EPI_ISL_5893960","GK"
"EPI_ISL_5893968","GK"
"EPI_ISL_5893974","GK"
"EPI_ISL_5893980","GK"
"EPI_ISL_5893987","GK"
"EPI_ISL_5893996","GK"
"EPI_ISL_5894005","GK"
"EPI_ISL_5894012","GK"
"EPI_ISL_5894022","GK"
"EPI_ISL_5894030","GK"
"EPI_ISL_5894034","GK"
"EPI_ISL_5894044","GK"
"EPI_ISL_5894057","GK"
"EPI_ISL_5894062","GK"
"EPI_ISL_5894070","GK"
"EPI_ISL_5894078","GK"
"EPI_ISL_5894085","GK"
"EPI_ISL_5894089","GK"
"EPI_ISL_5894097","GK"
"EPI_ISL_5894102","GK"
"EPI_ISL_5894111","GK"
"EPI_ISL_5894118","GK"
"EPI_ISL_5894128","GK"
"EPI_ISL_5894138","GK"
"EPI_ISL_5894145","GK"
"EPI_ISL_5894151","GK"
"EPI_ISL_5894158","GK"
"EPI_ISL_5894166","GK"
"EPI_ISL_5894176","GK"
"EPI_ISL_5894183","GK"
"EPI_ISL_5894191","GK"
"EPI_ISL_5894195","GK"
"EPI_ISL_5894202","GK"
"EPI_ISL_5894205","GK"
"EPI_ISL_5894211","GK"
"EPI_ISL_5894216","GK"
"EPI_ISL_5894224","GK"
"EPI_ISL_5894231","GK"
"EPI_ISL_5894240","GK"
"EPI_ISL_5894246","GK"
"EPI_ISL_5894253","GK"
"EPI_ISL_5894260","GK"
"EPI_ISL_5894265","GK"
"EPI_ISL_5894272","GK"
"EPI_ISL_5894280","GK"
"EPI_ISL_5894286","GK"
"EPI_ISL_5894293","GK"
"EPI_ISL_5894303","GK"
"EPI_ISL_5894306","GK"
"EPI_ISL_5894312","GK"
"EPI_ISL_5894321","GK"
"EPI_ISL_5894328","GK"
"EPI_ISL_5894334","GK"
"EPI_ISL_5894339","GK"
"EPI_ISL_5894348","GK"
"EPI_ISL_5894355","GK"
"EPI_ISL_5894361","GK"
"EPI_ISL_5894366","GK"
"EPI_ISL_5894377","GK"
"EPI_ISL_5894381","GK"
"EPI_ISL_5894388","GK"
"EPI_ISL_5894396","GK"
"EPI_ISL_5894409","GK"
"EPI_ISL_5894416","GK"
"EPI_ISL_5894425","GK"
"EPI_ISL_5894430","GK"
"EPI_ISL_5894437","GK"
"EPI_ISL_5894447","GK"
"EPI_ISL_5894454","GK"
"EPI_ISL_5894458","GK"
"EPI_ISL_5894467","GK"
"EPI_ISL_5894472","GK"
"EPI_ISL_5894477","GK"
"EPI_ISL_5894486","GK"
"EPI_ISL_5894495","GK"
"EPI_ISL_5894505","GK"
"EPI_ISL_5894510","GK"
"EPI_ISL_5894514","GK"
"EPI_ISL_5894524","GK"
"EPI_ISL_5894533","GK"
"EPI_ISL_5894539","GK"
"EPI_ISL_5894549","GK"
"EPI_ISL_5894560","GK"
"EPI_ISL_5894566","GK"
"EPI_ISL_5894578","GK"
"EPI_ISL_5894583","GK"
"EPI_ISL_5894593","GK"
"EPI_ISL_5894602","GK"
"EPI_ISL_5894612","GK"
"EPI_ISL_5894616","GK"
"EPI_ISL_5894622","GK"
"EPI_ISL_5894636","GK"
"EPI_ISL_5894643","GK"
"EPI_ISL_5894649","GK"
"EPI_ISL_5894659","GK"
"EPI_ISL_5894670","GK"
"EPI_ISL_5894681","GK"
"EPI_ISL_5894689","GK"
"EPI_ISL_5894694","GK"
"EPI_ISL_5894700","GK"
"EPI_ISL_5894709","GK"
"EPI_ISL_5894717","GK"
"EPI_ISL_5894725","GK"
"EPI_ISL_5894732","GK"
"EPI_ISL_5894738","GK"
"EPI_ISL_5894746","GK"
"EPI_ISL_5894758","GK"
"EPI_ISL_5894762","GK"
"EPI_ISL_5894771","GK"
"EPI_ISL_5894781","GK"
"EPI_ISL_5894788","GK"
"EPI_ISL_5894794","GK"
"EPI_ISL_5894807","GK"
"EPI_ISL_5894810","GK"
"EPI_ISL_5894814","GK"
"EPI_ISL_5894818","GK"
"EPI_ISL_5894826","GK"
"EPI_ISL_5894834","GK"
"EPI_ISL_5894842","GK"
"EPI_ISL_5894850","GK"
"EPI_ISL_5894857","GK"
"EPI_ISL_5894868","GK"
"EPI_ISL_5894877","GK"
"EPI_ISL_5894890","GK"
"EPI_ISL_5894893","GK"
"EPI_ISL_5894904","GK"
"EPI_ISL_5894915","GK"
"EPI_ISL_5894923","GK"
"EPI_ISL_5894926","GK"
"EPI_ISL_5894933","GK"
"EPI_ISL_5894943","GK"
"EPI_ISL_5894953","GK"
"EPI_ISL_5894966","GK"
"EPI_ISL_5894972","GK"
"EPI_ISL_5894982","GK"
"EPI_ISL_5894986","GK"
"EPI_ISL_5894996","GK"
"EPI_ISL_5895002","GK"
"EPI_ISL_5895009","GK"
"EPI_ISL_5895020","GK"
"EPI_ISL_5895025","GK"
"EPI_ISL_5895034","GK"
"EPI_ISL_5895040","GK"
"EPI_ISL_5895046","GK"
"EPI_ISL_5895056","GK"
"EPI_ISL_5895065","GK"
"EPI_ISL_5895075","GK"
"EPI_ISL_5895080","GK"
"EPI_ISL_5895091","GK"
"EPI_ISL_5895104","GK"
"EPI_ISL_5895112","GK"
"EPI_ISL_5895117","GK"
"EPI_ISL_5895125","GK"
"EPI_ISL_5895133","GK"
"EPI_ISL_5895144","GK"
"EPI_ISL_5895150","GK"
"EPI_ISL_5895159","GK"
"EPI_ISL_5895166","GK"
"EPI_ISL_5895174","GK"
"EPI_ISL_5895180","GK"
"EPI_ISL_5895193","GK"
"EPI_ISL_5895199","GK"
"EPI_ISL_5895200","GK"
"EPI_ISL_5895201","GK"
"EPI_ISL_5895202","GK"
"EPI_ISL_5895203","GK"
"EPI_ISL_5895204","GK"
"EPI_ISL_5895205","GK"
"EPI_ISL_5895206","GK"
"EPI_ISL_5895207","GK"
"EPI_ISL_5895208","GK"
"EPI_ISL_5895209","GK"
"EPI_ISL_5895210","GK"
"EPI_ISL_5895211","GK"
"EPI_ISL_5895212","GK"
"EPI_ISL_5895213","GK"
"EPI_ISL_5895214","GK"
"EPI_ISL_5895215","GK"
"EPI_ISL_5895216","GK"
"EPI_ISL_5895217","GK"
"EPI_ISL_5895218","GK"
"EPI_ISL_5895219","GK"
"EPI_ISL_5895220","GK"
"EPI_ISL_5895221","GK"
"EPI_ISL_5895222","GK"
"EPI_ISL_5895223","GK"
"EPI_ISL_5895224","GK"
"EPI_ISL_5895225","GK"
"EPI_ISL_5895226","GK"
"EPI_ISL_5895227","GK"
"EPI_ISL_5895228","GK"
"EPI_ISL_5895229","GK"
"EPI_ISL_5895232","GK"
"EPI_ISL_5895239","GK"
"EPI_ISL_5895249","GK"
"EPI_ISL_5895256","GK"
"EPI_ISL_5895266","GK"
"EPI_ISL_5895269","GK"
"EPI_ISL_5895274","GK"
"EPI_ISL_5895284","GK"
"EPI_ISL_5895291","GK"
"EPI_ISL_5895298","GK"
"EPI_ISL_5895309","GK"
"EPI_ISL_5895313","GK"
"EPI_ISL_5895324","GK"
"EPI_ISL_5895331","GK"
"EPI_ISL_5895339","GK"
"EPI_ISL_5895346","GK"
"EPI_ISL_5895354","GK"
"EPI_ISL_5895362","GK"
"EPI_ISL_5895369","GK"
"EPI_ISL_5895384","GK"
"EPI_ISL_5895387","GK"
"EPI_ISL_5895396","GK"
"EPI_ISL_5895403","GK"
"EPI_ISL_5895412","GK"
"EPI_ISL_5895421","GK"
"EPI_ISL_5895428","GK"
"EPI_ISL_5895433","GK"
"EPI_ISL_5895444","GK"
"EPI_ISL_5895450","GK"
"EPI_ISL_5895457","GK"
"EPI_ISL_5895464","GK"
"EPI_ISL_5895467","GK"
"EPI_ISL_5895476","GK"
"EPI_ISL_5895486","GK"
"EPI_ISL_5895495","GK"
"EPI_ISL_5895502","GK"
"EPI_ISL_5895504","GK"
"EPI_ISL_5895505","GK"
"EPI_ISL_5895516","GK"
"EPI_ISL_5895525","GK"
"EPI_ISL_5895531","GK"
"EPI_ISL_5895538","GK"
"EPI_ISL_5895541","GK"
"EPI_ISL_5895548","GK"
"EPI_ISL_5895555","GK"
"EPI_ISL_5895568","GK"
"EPI_ISL_5895580","GK"
"EPI_ISL_5895590","GK"
"EPI_ISL_5895597","GK"
"EPI_ISL_5895600","GK"
"EPI_ISL_5895604","GK"
"EPI_ISL_5895611","GK"
"EPI_ISL_5895617","GK"
"EPI_ISL_5895624","GK"
"EPI_ISL_5895631","GK"
"EPI_ISL_5895639","GK"
"EPI_ISL_5895647","GK"
"EPI_ISL_5895659","GK"
"EPI_ISL_5895669","GK"
"EPI_ISL_5895676","GK"
"EPI_ISL_5895684","GK"
"EPI_ISL_5895689","GK"
"EPI_ISL_5895696","GK"
"EPI_ISL_5895704","GK"
"EPI_ISL_5895714","GK"
"EPI_ISL_5895717","GK"
"EPI_ISL_5895729","GK"
"EPI_ISL_5895738","GK"
"EPI_ISL_5895745","GK"
"EPI_ISL_5895750","GK"
"EPI_ISL_5895760","GK"
"EPI_ISL_5895767","GK"
"EPI_ISL_5895774","GK"
"EPI_ISL_5895782","GK"
"EPI_ISL_5895790","GK"
"EPI_ISL_5895796","GK"
"EPI_ISL_5895801","GK"
"EPI_ISL_5895809","GK"
"EPI_ISL_5895814","GK"
"EPI_ISL_5895819","GK"
"EPI_ISL_5895829","GK"
"EPI_ISL_5895840","GK"
"EPI_ISL_5895847","GK"
"EPI_ISL_5895851","GK"
"EPI_ISL_5895859","GK"
"EPI_ISL_5895867","GK"
"EPI_ISL_5895872","GK"
"EPI_ISL_5895880","GK"
"EPI_ISL_5895894","GK"
"EPI_ISL_5895903","GK"
"EPI_ISL_5895908","GK"
"EPI_ISL_5895921","GK"
"EPI_ISL_5895930","GK"
"EPI_ISL_5895937","GK"
"EPI_ISL_5895940","GK"
"EPI_ISL_5895948","GK"
"EPI_ISL_5895956","GK"
"EPI_ISL_5895964","GK"
"EPI_ISL_5895972","GK"
"EPI_ISL_5895982","GK"
"EPI_ISL_5895990","GK"
"EPI_ISL_5896000","GK"
"EPI_ISL_5896006","GK"
"EPI_ISL_5896010","GK"
"EPI_ISL_5896015","GK"
"EPI_ISL_5896020","GK"
"EPI_ISL_5896028","GK"
"EPI_ISL_5896035","GK"
"EPI_ISL_5896043","GK"
"EPI_ISL_5896050","GK"
"EPI_ISL_5896058","GK"
"EPI_ISL_5896065","GK"
"EPI_ISL_5896075","GK"
"EPI_ISL_5896081","GK"
"EPI_ISL_5896092","GK"
"EPI_ISL_5896100","GK"
"EPI_ISL_5896105","GK"
"EPI_ISL_5896111","GK"
"EPI_ISL_5896119","GK"
"EPI_ISL_5896128","GK"
"EPI_ISL_5896134","GK"
"EPI_ISL_5896140","GK"
"EPI_ISL_5896147","GK"
"EPI_ISL_5896156","GK"
"EPI_ISL_5896166","GK"
"EPI_ISL_5896173","GK"
"EPI_ISL_5896178","GK"
"EPI_ISL_5896187","GK"
"EPI_ISL_5896199","GK"
"EPI_ISL_5896202","GK"
"EPI_ISL_5896207","GK"
"EPI_ISL_5896213","GK"
"EPI_ISL_5896218","GK"
"EPI_ISL_5896227","GK"
"EPI_ISL_5896237","GK"
"EPI_ISL_5896245","GK"
"EPI_ISL_5896249","GK"
"EPI_ISL_5896255","GK"
"EPI_ISL_5896264","GK"
"EPI_ISL_5896271","O"
"EPI_ISL_6017835","GK"
"EPI_ISL_6017843","GK"
"EPI_ISL_6017849","GK"
"EPI_ISL_6017854","GK"
"EPI_ISL_6017856","GK"
"EPI_ISL_6017863","GK"
"EPI_ISL_6017872","GK"
"EPI_ISL_6017877","GK"
"EPI_ISL_6017882","GK"
"EPI_ISL_6017886","GK"
"EPI_ISL_6017893","GK"
"EPI_ISL_6017898","GK"
"EPI_ISL_6017904","GK"
"EPI_ISL_6017912","GK"
"EPI_ISL_6017919","GK"
"EPI_ISL_6017925","GK"
"EPI_ISL_6017934","GK"
"EPI_ISL_6017938","GK"
"EPI_ISL_6017943","GK"
"EPI_ISL_6017949","GK"
"EPI_ISL_6017953","GK"
"EPI_ISL_6017961","GK"
"EPI_ISL_6017968","GK"
"EPI_ISL_6017973","GK"
"EPI_ISL_6017979","GK"
"EPI_ISL_6017983","GK"
"EPI_ISL_6017989","GK"
"EPI_ISL_6017999","GK"
"EPI_ISL_6018009","GK"
"EPI_ISL_6018016","GK"
"EPI_ISL_6018024","GK"
"EPI_ISL_6018031","GK"
"EPI_ISL_6018038","GK"
"EPI_ISL_6018046","GK"
"EPI_ISL_6018051","GK"
"EPI_ISL_6018054","GK"
"EPI_ISL_6018059","GK"
"EPI_ISL_6018067","GK"
"EPI_ISL_6018072","GK"
"EPI_ISL_6018078","GK"
"EPI_ISL_6018085","GK"
"EPI_ISL_6018088","GK"
"EPI_ISL_6018092","GK"
"EPI_ISL_6018100","GK"
"EPI_ISL_6018108","GK"
"EPI_ISL_6018112","GK"
"EPI_ISL_6018122","GK"
"EPI_ISL_6131984","GK"
"EPI_ISL_6131985","GK"
"EPI_ISL_6131986","GK"
"EPI_ISL_6131987","GK"
"EPI_ISL_6131988","GK"
"EPI_ISL_6131989","GK"
"EPI_ISL_6131990","GK"
"EPI_ISL_6131991","GK"
"EPI_ISL_6131992","GK"
"EPI_ISL_6131993","GK"
"EPI_ISL_6131994","GK"
"EPI_ISL_6131995","GK"
"EPI_ISL_6131996","GK"
"EPI_ISL_6131997","GK"
"EPI_ISL_6131998","GK"
"EPI_ISL_6131999","GK"
"EPI_ISL_6132000","GK"
"EPI_ISL_6132001","GK"
"EPI_ISL_6132002","GK"
"EPI_ISL_6132003","GK"
"EPI_ISL_6132004","GK"
"EPI_ISL_6132005","GK"
"EPI_ISL_6132006","GV"
"EPI_ISL_6132007","G"
"EPI_ISL_6132008","G"
"EPI_ISL_6132009","GV"
"EPI_ISL_6132010","GV"
"EPI_ISL_6132011","GK"
"EPI_ISL_6132012","GK"
"EPI_ISL_6132017","GK"
"EPI_ISL_6132018","G"
"EPI_ISL_6132019","GV"
"EPI_ISL_6132020","G"
"EPI_ISL_6132021","GK"
"EPI_ISL_6132022","GK"
"EPI_ISL_6132023","GK"
"EPI_ISL_6132024","GV"
"EPI_ISL_6132025","GK"
"EPI_ISL_6132026","GK"
"EPI_ISL_6132027","GK"
"EPI_ISL_6132028","GK"
"EPI_ISL_6132029","G"
"EPI_ISL_6132030","GK"
"EPI_ISL_6132031","G"
"EPI_ISL_6132032","O"
"EPI_ISL_6132033","GK"
"EPI_ISL_6132034","GV"
"EPI_ISL_6132035","GK"
"EPI_ISL_6132036","GK"
"EPI_ISL_6132037","GK"
"EPI_ISL_6132038","GK"
"EPI_ISL_6132039","GK"
"EPI_ISL_6132040","GV"
"EPI_ISL_6132041","GV"
"EPI_ISL_6132042","GK"
"EPI_ISL_6132043","GK"
"EPI_ISL_6132044","GV"
"EPI_ISL_6132045","GK"
"EPI_ISL_6132046","GK"
"EPI_ISL_6132047","GK"
"EPI_ISL_6132048","GK"
"EPI_ISL_6132049","GV"
"EPI_ISL_6132050","GK"
"EPI_ISL_6132051","GV"
"EPI_ISL_6132052","GV"
"EPI_ISL_6132053","G"
"EPI_ISL_6132054","GK"
"EPI_ISL_6132055","GK"
"EPI_ISL_6132056","GK"
"EPI_ISL_6132057","GK"
"EPI_ISL_6132058","GK"
"EPI_ISL_6132059","GK"
"EPI_ISL_6132060","GK"
"EPI_ISL_6132061","GV"
"EPI_ISL_6132062","GK"
"EPI_ISL_6132063","GV"
"EPI_ISL_6132064","GK"
"EPI_ISL_6132065","GK"
"EPI_ISL_6132066","GK"
"EPI_ISL_3763022","GK"
"EPI_ISL_1114764","O"
"EPI_ISL_6182084","G"
"EPI_ISL_6264273","GK"
"EPI_ISL_6264274","GK"
"EPI_ISL_6264275","GK"
"EPI_ISL_6264276","GK"
"EPI_ISL_6264277","GK"
"EPI_ISL_6264278","GK"
"EPI_ISL_6264279","GK"
"EPI_ISL_6264280","GK"
"EPI_ISL_6264281","GK"
"EPI_ISL_6264282","GK"
"EPI_ISL_6264283","GK"
"EPI_ISL_6264284","GK"
"EPI_ISL_6264285","GK"
"EPI_ISL_6264286","GK"
"EPI_ISL_6264287","GK"
"EPI_ISL_6264288","GK"
"EPI_ISL_6264289","GK"
"EPI_ISL_6264290","GK"
"EPI_ISL_6264291","GK"
"EPI_ISL_6264292","GK"
"EPI_ISL_6264293","GK"
"EPI_ISL_6264294","GK"
"EPI_ISL_6342887","GK"
"EPI_ISL_6342941","GK"
"EPI_ISL_6422208","GK"
"EPI_ISL_6422346","GK"
"EPI_ISL_6422375","GK"
"EPI_ISL_6422377","GK"
"EPI_ISL_6422435","GK"
"EPI_ISL_6422439","GK"
"EPI_ISL_6422470","GK"
"EPI_ISL_6422471","GK"
"EPI_ISL_6422494","GK"
"EPI_ISL_6422721","GK"
"EPI_ISL_6422765","GK"
"EPI_ISL_6422904","GK"
"EPI_ISL_6423030","GK"
"EPI_ISL_6423042","GK"
"EPI_ISL_6423044","GK"
"EPI_ISL_6423136","GK"
"EPI_ISL_6423165","GK"
"EPI_ISL_6423168","GK"
"EPI_ISL_6423211","GK"
"EPI_ISL_6423407","GK"
"EPI_ISL_6423698","GK"
"EPI_ISL_6424031","GK"
"EPI_ISL_6424391","GK"
"EPI_ISL_6424636","GK"
"EPI_ISL_6424641","GK"
"EPI_ISL_6424645","GK"
"EPI_ISL_6424647","GK"
"EPI_ISL_6424675","GK"
"EPI_ISL_6424684","GK"
"EPI_ISL_6424688","GK"
"EPI_ISL_6452543","GK"
"EPI_ISL_6452551","GK"
"EPI_ISL_6452557","GK"
"EPI_ISL_6452563","GK"
"EPI_ISL_6452572","GK"
"EPI_ISL_6452583","GK"
"EPI_ISL_6452588","GK"
"EPI_ISL_6452595","GK"
"EPI_ISL_6452603","GK"
"EPI_ISL_6452609","GK"
"EPI_ISL_6452618","GK"
"EPI_ISL_6452624","GK"
"EPI_ISL_6452626","GK"
"EPI_ISL_6452630","GK"
"EPI_ISL_6452633","GK"
"EPI_ISL_6452634","GK"
"EPI_ISL_6452640","GK"
"EPI_ISL_6452645","GK"
"EPI_ISL_6452649","GK"
"EPI_ISL_6452653","GK"
"EPI_ISL_6452660","GK"
"EPI_ISL_6567062","GK"
"EPI_ISL_6567063","GK"
"EPI_ISL_6567064","GK"
"EPI_ISL_6567065","GK"
"EPI_ISL_6567066","GK"
"EPI_ISL_6567067","GK"
"EPI_ISL_6567068","GK"
"EPI_ISL_6567069","GK"
"EPI_ISL_6567070","GK"
"EPI_ISL_6567071","GK"
"EPI_ISL_6567072","GK"
"EPI_ISL_6567073","GK"
"EPI_ISL_6567074","GK"
"EPI_ISL_6567075","GK"
"EPI_ISL_6567076","GK"
"EPI_ISL_6567077","GK"
"EPI_ISL_6567078","GK"
"EPI_ISL_6567079","G"
"EPI_ISL_6567080","GK"
"EPI_ISL_6567081","GK"
"EPI_ISL_6567082","GK"
"EPI_ISL_6567083","GK"
"EPI_ISL_6567084","GK"
"EPI_ISL_6586280","GK"
"EPI_ISL_6586281","GK"
"EPI_ISL_6586282","GK"
"EPI_ISL_6586283","GK"
"EPI_ISL_6586284","GK"
"EPI_ISL_6586285","GK"
"EPI_ISL_6586286","GK"
"EPI_ISL_6586287","GK"
"EPI_ISL_6586288","GK"
"EPI_ISL_6586289","GK"
"EPI_ISL_6586290","GK"
"EPI_ISL_6586291","GK"
"EPI_ISL_6586292","GK"
"EPI_ISL_6586293","GK"
"EPI_ISL_6586294","GK"
"EPI_ISL_6586295","GK"
"EPI_ISL_6586296","GK"
"EPI_ISL_6586297","GK"
"EPI_ISL_6586298","GK"
"EPI_ISL_6586299","GK"
"EPI_ISL_6586300","GK"
"EPI_ISL_6586301","GK"
"EPI_ISL_6586302","GK"
"EPI_ISL_6586303","GK"
"EPI_ISL_6586304","GK"
"EPI_ISL_6586305","GK"
"EPI_ISL_6586306","GK"
"EPI_ISL_6586307","GK"
"EPI_ISL_6586308","GK"
"EPI_ISL_6586309","GK"
"EPI_ISL_6586310","GK"
"EPI_ISL_6586311","GK"
"EPI_ISL_6586312","GK"
"EPI_ISL_6586313","GK"
"EPI_ISL_6586314","GK"
"EPI_ISL_6586315","GK"
"EPI_ISL_6586316","GK"
"EPI_ISL_6586317","GK"
"EPI_ISL_6586318","GK"
"EPI_ISL_6586319","GK"
"EPI_ISL_6586320","GK"
"EPI_ISL_6586321","GK"
"EPI_ISL_6586322","GK"
"EPI_ISL_6586323","GK"
"EPI_ISL_6586324","GK"
"EPI_ISL_6586325","GK"
"EPI_ISL_6586326","GK"
"EPI_ISL_6586327","GK"
"EPI_ISL_6586328","GK"
"EPI_ISL_6586329","GK"
"EPI_ISL_6586330","GK"
"EPI_ISL_6586331","GK"
"EPI_ISL_6586332","GK"
"EPI_ISL_6586333","GK"
"EPI_ISL_6586334","GK"
"EPI_ISL_6586335","GK"
"EPI_ISL_6586336","GK"
"EPI_ISL_6586337","GK"
"EPI_ISL_6586338","GK"
"EPI_ISL_6586339","GK"
"EPI_ISL_6586340","GK"
"EPI_ISL_6586341","GK"
"EPI_ISL_6586342","GK"
"EPI_ISL_6586343","GK"
"EPI_ISL_6586344","GK"
"EPI_ISL_6586345","GK"
"EPI_ISL_6586346","GK"
"EPI_ISL_6586347","GK"
"EPI_ISL_6586348","GK"
"EPI_ISL_6586349","GK"
"EPI_ISL_6586350","GK"
"EPI_ISL_6586351","GK"
"EPI_ISL_6586352","GK"
"EPI_ISL_6586353","GK"
"EPI_ISL_6586354","GK"
"EPI_ISL_6586355","GK"
"EPI_ISL_6586356","GK"
"EPI_ISL_6586357","GK"
"EPI_ISL_6586358","GK"
"EPI_ISL_6586359","GK"
"EPI_ISL_6586360","GK"
"EPI_ISL_6586361","GK"
"EPI_ISL_6586362","GK"
"EPI_ISL_6586363","GK"
"EPI_ISL_6586364","GK"
"EPI_ISL_6586365","GK"
"EPI_ISL_6586366","GK"
"EPI_ISL_6586367","GK"
"EPI_ISL_6586368","GK"
"EPI_ISL_6586369","GK"
"EPI_ISL_6586370","GK"
"EPI_ISL_6586371","GK"
"EPI_ISL_6586372","GK"
"EPI_ISL_6586373","GK"
"EPI_ISL_6586374","GK"
"EPI_ISL_6586375","GK"
"EPI_ISL_6586376","GK"
"EPI_ISL_6586377","GK"
"EPI_ISL_6586378","GK"
"EPI_ISL_6586379","GK"
"EPI_ISL_6586380","GK"
"EPI_ISL_6586381","GK"
"EPI_ISL_6586382","GK"
"EPI_ISL_6586383","GK"
"EPI_ISL_6586384","GK"
"EPI_ISL_6586385","GK"
"EPI_ISL_6586386","GK"
"EPI_ISL_6586387","GK"
"EPI_ISL_6586388","GK"
"EPI_ISL_6586389","GK"
"EPI_ISL_6586390","GK"
"EPI_ISL_6586391","GK"
"EPI_ISL_6586392","GK"
"EPI_ISL_6586395","GK"
"EPI_ISL_6586396","GK"
"EPI_ISL_6586397","GK"
"EPI_ISL_6586398","GK"
