AccID	clade	qc.overallStatus
EPI_ISL_7260114	21I (Delta)	good
EPI_ISL_7260124	21J (Delta)	good
EPI_ISL_7260131	21J (Delta)	good
EPI_ISL_7260138	21J (Delta)	good
EPI_ISL_7260146	21I (Delta)	good
EPI_ISL_7260151	21J (Delta)	good
EPI_ISL_7260160	21I (Delta)	mediocre
EPI_ISL_7260171	21J (Delta)	good
EPI_ISL_7260179	21J (Delta)	good
EPI_ISL_7260187	21J (Delta)	good
EPI_ISL_7260193	21I (Delta)	good
EPI_ISL_7260201	21I (Delta)	good
EPI_ISL_7260210	21J (Delta)	good
EPI_ISL_7260219	21J (Delta)	good
EPI_ISL_7260232	21J (Delta)	good
EPI_ISL_7260237	21J (Delta)	good
EPI_ISL_7260252	21J (Delta)	good
EPI_ISL_7260264	21J (Delta)	good
EPI_ISL_7260274	21I (Delta)	good
EPI_ISL_7260281	21J (Delta)	good
EPI_ISL_7260289	21J (Delta)	good
EPI_ISL_7260297	21J (Delta)	good
EPI_ISL_7260305	21J (Delta)	good
EPI_ISL_7260315	21J (Delta)	good
EPI_ISL_7260325	21J (Delta)	good
EPI_ISL_7260334	21J (Delta)	good
EPI_ISL_7260339	21J (Delta)	good
EPI_ISL_7260349	21J (Delta)	good
EPI_ISL_7260354	21J (Delta)	good
EPI_ISL_7260363	21I (Delta)	good
EPI_ISL_7260369	21I (Delta)	good
EPI_ISL_7260376	21J (Delta)	good
EPI_ISL_7379966	21I (Delta)	good
EPI_ISL_7380014	21J (Delta)	good
EPI_ISL_7380070	21J (Delta)	good
EPI_ISL_7380249	20A	good
EPI_ISL_7380252	21J (Delta)	good
EPI_ISL_7380254	21I (Delta)	mediocre
EPI_ISL_7380466	21I (Delta)	good
EPI_ISL_7380502	21J (Delta)	good
EPI_ISL_7380529	21I (Delta)	good
EPI_ISL_7380533	21I (Delta)	mediocre
EPI_ISL_7380536	21J (Delta)	good
EPI_ISL_7381176	21I (Delta)	good
EPI_ISL_7381228	21I (Delta)	mediocre
EPI_ISL_7456538	21I (Delta)	mediocre
EPI_ISL_7456542	21I (Delta)	good
EPI_ISL_7456543	21I (Delta)	good
EPI_ISL_7457004	21I (Delta)	good
EPI_ISL_7457065	21I (Delta)	good
EPI_ISL_7457159	21J (Delta)	good
EPI_ISL_7457161	21J (Delta)	good
EPI_ISL_7457286	21J (Delta)	bad
EPI_ISL_7457433	21J (Delta)	good
EPI_ISL_7457463	21J (Delta)	good
EPI_ISL_7457468	21J (Delta)	good
EPI_ISL_7457470	21J (Delta)	good
EPI_ISL_7457472	21J (Delta)	good
EPI_ISL_7457522	21J (Delta)	good
EPI_ISL_7457523	21J (Delta)	good
EPI_ISL_7457524	21I (Delta)	bad
EPI_ISL_7457530	21I (Delta)	good
EPI_ISL_7457535	21J (Delta)	good
EPI_ISL_7457539	21I (Delta)	bad
EPI_ISL_7457540	21I (Delta)	good
EPI_ISL_7457543	21I (Delta)	good
EPI_ISL_7457546	21J (Delta)	good
EPI_ISL_7457550	21I (Delta)	mediocre
EPI_ISL_7457646	21J (Delta)	good
EPI_ISL_7457649	21I (Delta)	good
EPI_ISL_7457655	21J (Delta)	good
EPI_ISL_7457660	21J (Delta)	good
EPI_ISL_7457712	21J (Delta)	good
EPI_ISL_7457717	21J (Delta)	good
EPI_ISL_7457755	21J (Delta)	good
EPI_ISL_7457819	21I (Delta)	good
EPI_ISL_7457906	21I (Delta)	bad
EPI_ISL_7457908	21J (Delta)	mediocre
EPI_ISL_7457916	21J (Delta)	good
EPI_ISL_7464468	21I (Delta)	good
EPI_ISL_7464469	21I (Delta)	good
EPI_ISL_7464470	21I (Delta)	good
EPI_ISL_7464471	21J (Delta)	good
EPI_ISL_7464472	21I (Delta)	good
EPI_ISL_7464473	21I (Delta)	good
EPI_ISL_7464474	21I (Delta)	good
EPI_ISL_7464475	21J (Delta)	good
EPI_ISL_7464476	21I (Delta)	good
EPI_ISL_7464477	21J (Delta)	good
EPI_ISL_7464478	21I (Delta)	good
EPI_ISL_7464479	21J (Delta)	good
EPI_ISL_7464480	21J (Delta)	good
EPI_ISL_7464481	21J (Delta)	good
EPI_ISL_7464482	21J (Delta)	good
EPI_ISL_7464483	21J (Delta)	good
EPI_ISL_7464484	21J (Delta)	good
EPI_ISL_7464485	21I (Delta)	good
EPI_ISL_7464486	21J (Delta)	good
EPI_ISL_7464487	21J (Delta)	good
EPI_ISL_7464488	21J (Delta)	good
EPI_ISL_7468513	21I (Delta)	good
EPI_ISL_7468514	21I (Delta)	good
EPI_ISL_7468515	21I (Delta)	good
EPI_ISL_7468516	21J (Delta)	good
EPI_ISL_7468517	21I (Delta)	good
EPI_ISL_7468518	21J (Delta)	good
EPI_ISL_7468519	21J (Delta)	good
EPI_ISL_7468520	21J (Delta)	good
EPI_ISL_7468521	21J (Delta)	good
EPI_ISL_7468522	21I (Delta)	good
EPI_ISL_7468523	21I (Delta)	good
EPI_ISL_7468524	21I (Delta)	good
EPI_ISL_7468525	21I (Delta)	good
EPI_ISL_7468526	21I (Delta)	good
EPI_ISL_7468527	21I (Delta)	good
EPI_ISL_7468528	21J (Delta)	good
EPI_ISL_7468529	21J (Delta)	good
EPI_ISL_7468530	21J (Delta)	good
EPI_ISL_7468531	21J (Delta)	good
EPI_ISL_7468532	21J (Delta)	good
EPI_ISL_7468533	21J (Delta)	good
EPI_ISL_7468534	21I (Delta)	good
EPI_ISL_7468535	21I (Delta)	good
EPI_ISL_7468563	21I (Delta)	good
EPI_ISL_7468564	21J (Delta)	good
EPI_ISL_7468565	21J (Delta)	good
EPI_ISL_7468566	21J (Delta)	good
EPI_ISL_7468567	21J (Delta)	good
EPI_ISL_7468568	21J (Delta)	good
EPI_ISL_7468569	21J (Delta)	good
EPI_ISL_7468570	21J (Delta)	good
EPI_ISL_7468571	21J (Delta)	good
EPI_ISL_7468572	21J (Delta)	good
EPI_ISL_7468573	21J (Delta)	good
EPI_ISL_7468574	21J (Delta)	good
EPI_ISL_7468575	21J (Delta)	good
EPI_ISL_7468576	21J (Delta)	good
EPI_ISL_7468577	21J (Delta)	good
EPI_ISL_7468578	21I (Delta)	good
EPI_ISL_7468579	21J (Delta)	good
EPI_ISL_7468580	21J (Delta)	good
EPI_ISL_7468581	21J (Delta)	good
EPI_ISL_7468582	21J (Delta)	good
EPI_ISL_7468583	21J (Delta)	good
EPI_ISL_7468584	21J (Delta)	good
EPI_ISL_7468585	21J (Delta)	good
EPI_ISL_7468586	21J (Delta)	good
EPI_ISL_7468587	21J (Delta)	good
EPI_ISL_7468589	21J (Delta)	good
EPI_ISL_7468590	21J (Delta)	good
EPI_ISL_7468591	21J (Delta)	good
EPI_ISL_7468592	21I (Delta)	good
EPI_ISL_7468593	21J (Delta)	good
EPI_ISL_7468594	21I (Delta)	good
EPI_ISL_7468595	21J (Delta)	good
EPI_ISL_7468596	21J (Delta)	good
EPI_ISL_7468597	21J (Delta)	good
EPI_ISL_7468598	21J (Delta)	good
EPI_ISL_7468601	21J (Delta)	mediocre
EPI_ISL_7468602	21J (Delta)	mediocre
EPI_ISL_7468603	21J (Delta)	mediocre
EPI_ISL_7468604	21J (Delta)	mediocre
EPI_ISL_7468605	21J (Delta)	mediocre
EPI_ISL_7468606	21J (Delta)	mediocre
EPI_ISL_7468607	21J (Delta)	mediocre
EPI_ISL_7468609	21J (Delta)	good
EPI_ISL_7468610	21J (Delta)	mediocre
EPI_ISL_7468611	21J (Delta)	mediocre
EPI_ISL_7468612	21J (Delta)	mediocre
EPI_ISL_7468616	21J (Delta)	mediocre
EPI_ISL_7468617	21J (Delta)	mediocre
EPI_ISL_7468618	21J (Delta)	mediocre
EPI_ISL_7468622	21J (Delta)	good
EPI_ISL_7468623	21J (Delta)	good
EPI_ISL_7468625	21J (Delta)	good
EPI_ISL_7468626	21J (Delta)	good
EPI_ISL_7468627	21J (Delta)	good
EPI_ISL_7468628	21I (Delta)	good
EPI_ISL_7468629	21J (Delta)	good
EPI_ISL_7468630	21J (Delta)	good
EPI_ISL_7468631	21J (Delta)	good
EPI_ISL_7468632	21J (Delta)	good
EPI_ISL_7468634	21J (Delta)	good
EPI_ISL_7472868	21J (Delta)	good
EPI_ISL_7472869	21J (Delta)	good
EPI_ISL_7472870	21J (Delta)	good
EPI_ISL_7472871	21J (Delta)	good
EPI_ISL_7472872	21J (Delta)	good
EPI_ISL_7472873	21J (Delta)	good
EPI_ISL_7472874	21J (Delta)	good
EPI_ISL_7472875	21J (Delta)	good
EPI_ISL_7472876	21J (Delta)	good
EPI_ISL_7472877	21J (Delta)	good
EPI_ISL_7472878	21J (Delta)	good
EPI_ISL_7472879	21J (Delta)	good
EPI_ISL_7472880	21J (Delta)	good
EPI_ISL_7472881	21J (Delta)	good
EPI_ISL_7472882	21J (Delta)	good
EPI_ISL_7472883	21J (Delta)	good
EPI_ISL_7472884	21J (Delta)	good
EPI_ISL_7472885	21J (Delta)	good
EPI_ISL_7472886	21J (Delta)	good
EPI_ISL_7472887	21J (Delta)	good
EPI_ISL_7472888	21J (Delta)	good
EPI_ISL_7472889	21J (Delta)	good
EPI_ISL_7472890	21J (Delta)	good
EPI_ISL_7472891	21J (Delta)	good
EPI_ISL_7472892	21J (Delta)	good
EPI_ISL_7472893	21J (Delta)	good
EPI_ISL_7472894	21J (Delta)	good
EPI_ISL_7472895	21J (Delta)	good
EPI_ISL_7472896	21J (Delta)	good
EPI_ISL_7472897	21J (Delta)	good
EPI_ISL_7472898	21J (Delta)	good
EPI_ISL_7472899	21J (Delta)	good
EPI_ISL_7472900	21J (Delta)	good
EPI_ISL_7472901	21J (Delta)	good
EPI_ISL_7472902	21J (Delta)	good
EPI_ISL_7472903	21J (Delta)	good
EPI_ISL_7472904	21J (Delta)	good
EPI_ISL_7472905	21J (Delta)	good
EPI_ISL_7472906	21J (Delta)	good
EPI_ISL_7472907	21J (Delta)	good
EPI_ISL_7472908	21J (Delta)	good
EPI_ISL_7472909	21J (Delta)	good
EPI_ISL_7472910	21J (Delta)	good
EPI_ISL_7472911	21J (Delta)	good
EPI_ISL_7472912	21J (Delta)	good
EPI_ISL_7472913	21I (Delta)	good
EPI_ISL_7472914	21J (Delta)	good
EPI_ISL_7472915	21I (Delta)	good
EPI_ISL_7472916	21I (Delta)	good
EPI_ISL_7472917	21J (Delta)	good
EPI_ISL_7472918	21J (Delta)	good
EPI_ISL_7472919	21J (Delta)	good
EPI_ISL_7472920	21J (Delta)	good
EPI_ISL_7472921	21J (Delta)	good
EPI_ISL_7472922	21J (Delta)	good
EPI_ISL_7472923	21J (Delta)	good
EPI_ISL_7472924	21J (Delta)	good
EPI_ISL_7472925	21J (Delta)	good
EPI_ISL_7472926	21J (Delta)	good
EPI_ISL_7472927	21I (Delta)	mediocre
EPI_ISL_7472928	21J (Delta)	good
EPI_ISL_7472929	21J (Delta)	good
EPI_ISL_7472930	21J (Delta)	good
EPI_ISL_7472931	21I (Delta)	good
EPI_ISL_7472932	21J (Delta)	good
EPI_ISL_7472933	21J (Delta)	good
EPI_ISL_7472934	21J (Delta)	good
EPI_ISL_7472936	21J (Delta)	good
EPI_ISL_7472937	21J (Delta)	good
EPI_ISL_7472938	21J (Delta)	good
EPI_ISL_7472939	21J (Delta)	good
EPI_ISL_7472940	21J (Delta)	good
EPI_ISL_7472941	21J (Delta)	good
EPI_ISL_7472942	21J (Delta)	good
EPI_ISL_7472943	21J (Delta)	good
EPI_ISL_7472944	21J (Delta)	good
EPI_ISL_7472945	21J (Delta)	good
EPI_ISL_7472946	21J (Delta)	good
EPI_ISL_7472947	21J (Delta)	good
EPI_ISL_7472948	21J (Delta)	good
EPI_ISL_7472949	21J (Delta)	good
EPI_ISL_7472950	21J (Delta)	good
EPI_ISL_7472951	21J (Delta)	good
EPI_ISL_7472952	21J (Delta)	good
EPI_ISL_7472953	21J (Delta)	good
EPI_ISL_7472954	21J (Delta)	good
EPI_ISL_7472955	21J (Delta)	good
EPI_ISL_7472956	21J (Delta)	good
EPI_ISL_7472957	21J (Delta)	good
EPI_ISL_7472958	21J (Delta)	good
EPI_ISL_7472959	21J (Delta)	good
EPI_ISL_7472960	21J (Delta)	good
EPI_ISL_7472961	21J (Delta)	good
EPI_ISL_7472962	21I (Delta)	good
EPI_ISL_7472963	21J (Delta)	good
EPI_ISL_7472964	21J (Delta)	good
EPI_ISL_7472965	21J (Delta)	good
EPI_ISL_7472966	21J (Delta)	good
EPI_ISL_7472967	21J (Delta)	good
EPI_ISL_7472968	21J (Delta)	good
EPI_ISL_7472969	21J (Delta)	good
EPI_ISL_7472970	21J (Delta)	good
EPI_ISL_7472971	21J (Delta)	good
EPI_ISL_7472972	21J (Delta)	good
EPI_ISL_7472973	21J (Delta)	good
EPI_ISL_7472974	21I (Delta)	good
EPI_ISL_7472975	21J (Delta)	good
EPI_ISL_7472976	21J (Delta)	good
EPI_ISL_7472977	21J (Delta)	good
EPI_ISL_7472978	21J (Delta)	good
EPI_ISL_7472979	21J (Delta)	good
EPI_ISL_7472980	21J (Delta)	good
EPI_ISL_7472981	21J (Delta)	good
EPI_ISL_7472982	21J (Delta)	good
EPI_ISL_7472983	21I (Delta)	good
EPI_ISL_7472984	21J (Delta)	good
EPI_ISL_7472985	21J (Delta)	good
EPI_ISL_7472986	21J (Delta)	good
EPI_ISL_7472987	21J (Delta)	good
EPI_ISL_7472988	21J (Delta)	good
EPI_ISL_7472989	21J (Delta)	good
EPI_ISL_7472990	21J (Delta)	good
EPI_ISL_7472991	21J (Delta)	good
EPI_ISL_7472992	21J (Delta)	good
EPI_ISL_7472993	21J (Delta)	good
EPI_ISL_7472994	21I (Delta)	good
EPI_ISL_7472995	21J (Delta)	good
EPI_ISL_7472996	21J (Delta)	good
EPI_ISL_7472997	21I (Delta)	good
EPI_ISL_7472998	21J (Delta)	good
EPI_ISL_7472999	21J (Delta)	good
EPI_ISL_7473003	21J (Delta)	good
EPI_ISL_7473004	21J (Delta)	good
EPI_ISL_7473005	21J (Delta)	good
EPI_ISL_7473006	21I (Delta)	good
EPI_ISL_7473007	21J (Delta)	good
EPI_ISL_7473008	21J (Delta)	good
EPI_ISL_7473009	21I (Delta)	good
EPI_ISL_7473010	21I (Delta)	good
EPI_ISL_7473011	21J (Delta)	good
EPI_ISL_7473012	21J (Delta)	good
EPI_ISL_7473013	21J (Delta)	good
EPI_ISL_7473014	21J (Delta)	good
EPI_ISL_7473015	21J (Delta)	good
EPI_ISL_7473016	21J (Delta)	good
EPI_ISL_7473017	21J (Delta)	mediocre
EPI_ISL_7473018	21J (Delta)	good
EPI_ISL_7473019	21J (Delta)	good
EPI_ISL_7473020	21I (Delta)	good
EPI_ISL_7473021	21J (Delta)	good
EPI_ISL_7473022	21J (Delta)	good
EPI_ISL_7473023	21J (Delta)	good
EPI_ISL_7473024	21J (Delta)	good
EPI_ISL_7473025	21J (Delta)	good
EPI_ISL_7473026	21J (Delta)	good
EPI_ISL_7473027	21J (Delta)	good
EPI_ISL_7473028	21J (Delta)	good
EPI_ISL_7473029	21J (Delta)	good
EPI_ISL_7473030	21J (Delta)	good
EPI_ISL_7473031	21J (Delta)	good
EPI_ISL_7473032	21J (Delta)	good
EPI_ISL_7473033	21J (Delta)	good
EPI_ISL_7473034	21J (Delta)	good
EPI_ISL_7473035	21J (Delta)	good
EPI_ISL_7473036	21J (Delta)	good
EPI_ISL_7473037	21J (Delta)	good
EPI_ISL_7473038	21J (Delta)	good
EPI_ISL_7473039	21J (Delta)	good
EPI_ISL_7473040	21J (Delta)	good
EPI_ISL_7473041	21J (Delta)	good
EPI_ISL_7473042	21J (Delta)	good
EPI_ISL_7473043	21J (Delta)	good
EPI_ISL_7473044	21J (Delta)	good
EPI_ISL_7473045	21J (Delta)	good
EPI_ISL_7473046	21J (Delta)	good
EPI_ISL_7473047	21J (Delta)	good
EPI_ISL_7473048	21J (Delta)	good
EPI_ISL_7473049	21J (Delta)	good
EPI_ISL_7473050	21J (Delta)	good
EPI_ISL_7473051	21J (Delta)	good
EPI_ISL_7473052	21J (Delta)	good
EPI_ISL_7473053	21J (Delta)	good
EPI_ISL_7473054	21J (Delta)	good
EPI_ISL_7473055	21J (Delta)	good
EPI_ISL_7473056	21J (Delta)	good
EPI_ISL_7473057	21J (Delta)	good
EPI_ISL_7473058	21J (Delta)	good
EPI_ISL_7473059	21J (Delta)	good
EPI_ISL_7473060	21J (Delta)	good
EPI_ISL_7473061	21J (Delta)	good
EPI_ISL_7473062	21J (Delta)	good
EPI_ISL_7473063	21J (Delta)	good
EPI_ISL_7473064	21J (Delta)	good
EPI_ISL_7473065	21J (Delta)	good
EPI_ISL_7473066	21J (Delta)	good
EPI_ISL_7473067	21J (Delta)	good
EPI_ISL_7473068	21J (Delta)	good
EPI_ISL_7473072	21J (Delta)	good
EPI_ISL_7473073	21J (Delta)	good
EPI_ISL_7473074	21J (Delta)	good
EPI_ISL_7473075	21J (Delta)	good
EPI_ISL_7473076	21J (Delta)	good
EPI_ISL_7473077	21J (Delta)	good
EPI_ISL_7473078	21J (Delta)	good
EPI_ISL_7473079	21J (Delta)	good
EPI_ISL_7473080	21J (Delta)	good
EPI_ISL_7473081	21J (Delta)	good
EPI_ISL_7473082	21J (Delta)	good
EPI_ISL_7473083	21J (Delta)	good
EPI_ISL_7473084	21J (Delta)	good
EPI_ISL_7473085	21J (Delta)	good
EPI_ISL_7473086	21J (Delta)	good
EPI_ISL_7473087	21J (Delta)	good
EPI_ISL_7473088	21J (Delta)	good
EPI_ISL_7473089	21J (Delta)	good
EPI_ISL_7473090	21J (Delta)	good
EPI_ISL_7473091	21J (Delta)	good
EPI_ISL_7473092	21J (Delta)	good
EPI_ISL_7473093	21J (Delta)	good
EPI_ISL_7473094	21J (Delta)	good
EPI_ISL_7473095	21J (Delta)	good
EPI_ISL_7473096	21I (Delta)	good
EPI_ISL_7473097	21J (Delta)	good
EPI_ISL_7473098	21J (Delta)	good
EPI_ISL_7473099	21J (Delta)	good
EPI_ISL_7473100	21J (Delta)	good
EPI_ISL_7473101	21J (Delta)	good
EPI_ISL_7473102	21J (Delta)	good
EPI_ISL_7473103	21J (Delta)	good
EPI_ISL_7473104	21A (Delta)	good
EPI_ISL_7473105	21J (Delta)	good
EPI_ISL_7473106	21J (Delta)	good
EPI_ISL_7473107	21J (Delta)	good
EPI_ISL_7473108	21J (Delta)	good
EPI_ISL_7473109	21J (Delta)	good
EPI_ISL_7473110	21J (Delta)	good
EPI_ISL_7473111	21J (Delta)	good
EPI_ISL_7473112	21J (Delta)	good
EPI_ISL_7473113	21J (Delta)	good
EPI_ISL_7473114	21J (Delta)	good
EPI_ISL_7473115	21J (Delta)	good
EPI_ISL_7473116	21J (Delta)	good
EPI_ISL_7473117	21J (Delta)	good
EPI_ISL_7473118	21J (Delta)	good
EPI_ISL_7473119	21J (Delta)	good
EPI_ISL_7473120	21J (Delta)	good
EPI_ISL_7473121	21J (Delta)	good
EPI_ISL_7473122	21J (Delta)	good
EPI_ISL_7473123	21J (Delta)	good
EPI_ISL_7473124	21J (Delta)	good
EPI_ISL_7473125	21J (Delta)	good
EPI_ISL_7473126	21J (Delta)	good
EPI_ISL_7473127	21J (Delta)	good
EPI_ISL_7473128	21J (Delta)	good
EPI_ISL_7649008	21J (Delta)	good
EPI_ISL_7649011	21I (Delta)	good
EPI_ISL_7649020	21J (Delta)	good
EPI_ISL_7649023	21I (Delta)	good
EPI_ISL_7649025	21I (Delta)	good
EPI_ISL_7649028	21J (Delta)	good
EPI_ISL_7649031	21I (Delta)	good
EPI_ISL_7649046	21I (Delta)	good
EPI_ISL_7649048	21I (Delta)	good
EPI_ISL_7649051	21I (Delta)	good
EPI_ISL_7649054	21I (Delta)	good
EPI_ISL_7649057	21I (Delta)	good
EPI_ISL_7649059	21J (Delta)	good
EPI_ISL_7649062	21I (Delta)	good
EPI_ISL_7649064	21I (Delta)	good
EPI_ISL_7649067	21I (Delta)	good
EPI_ISL_7649069	21J (Delta)	good
EPI_ISL_7649072	21I (Delta)	good
EPI_ISL_7649080	21I (Delta)	good
EPI_ISL_7649085	21J (Delta)	good
EPI_ISL_7649087	21I (Delta)	good
EPI_ISL_7649090	21J (Delta)	good
EPI_ISL_7715055	21K (Omicron)	good
EPI_ISL_7775246	21J (Delta)	good
EPI_ISL_7775247	21I (Delta)	good
EPI_ISL_7831383	21I (Delta)	good
EPI_ISL_7831384	21J (Delta)	good
EPI_ISL_7831385	21I (Delta)	good
EPI_ISL_7831386	21J (Delta)	good
EPI_ISL_7831387	21I (Delta)	good
EPI_ISL_7831388	21J (Delta)	good
EPI_ISL_7831389	21J (Delta)	good
EPI_ISL_7831390	21J (Delta)	good
EPI_ISL_7831391	21I (Delta)	good
EPI_ISL_7831392	21J (Delta)	good
EPI_ISL_7831393	21I (Delta)	good
EPI_ISL_7831394	21J (Delta)	good
EPI_ISL_7831395	21I (Delta)	good
EPI_ISL_7831396	21J (Delta)	good
EPI_ISL_7831397	21I (Delta)	good
EPI_ISL_7831398	21J (Delta)	good
EPI_ISL_7831399	21I (Delta)	good
EPI_ISL_7831400	21J (Delta)	good
EPI_ISL_7831401	21J (Delta)	good
EPI_ISL_7831402	21I (Delta)	good
EPI_ISL_7831403	21J (Delta)	mediocre
EPI_ISL_7831404	21J (Delta)	mediocre
EPI_ISL_7888903	21J (Delta)	good
EPI_ISL_7889377	21I (Delta)	good
EPI_ISL_7889378	21J (Delta)	good
EPI_ISL_7889466	21J (Delta)	good
EPI_ISL_7890057	21J (Delta)	good
EPI_ISL_7890058	21J (Delta)	good
EPI_ISL_7890059	21J (Delta)	good
EPI_ISL_7890216	21J (Delta)	good
EPI_ISL_7888696	21J (Delta)	mediocre
EPI_ISL_7951046	21K (Omicron)	good
EPI_ISL_7951047	21K (Omicron)	bad
EPI_ISL_7951108	21K (Omicron)	mediocre
EPI_ISL_7951109	21K (Omicron)	bad
EPI_ISL_7951110	21K (Omicron)	bad
EPI_ISL_7951111	21K (Omicron)	bad
EPI_ISL_7951112	21K (Omicron)	mediocre
EPI_ISL_7951113	21K (Omicron)	bad
EPI_ISL_7951114	21K (Omicron)	good
EPI_ISL_7951115	21K (Omicron)	bad
EPI_ISL_7952083	21J (Delta)	mediocre
EPI_ISL_7972315	20A	good
EPI_ISL_7972316	20A	good
EPI_ISL_7972317	20A	good
EPI_ISL_7972318	20A	good
EPI_ISL_7972319	20A	good
EPI_ISL_7972320	20A	good
EPI_ISL_7972321	20H (Beta, V2)	good
EPI_ISL_7972322	20A	good
EPI_ISL_7972323	20A	good
EPI_ISL_7972324	20H (Beta, V2)	good
EPI_ISL_7972325	20H (Beta, V2)	good
EPI_ISL_7972326	20A	good
EPI_ISL_7972327	20H (Beta, V2)	good
EPI_ISL_7972328	20H (Beta, V2)	good
EPI_ISL_7972329	20H (Beta, V2)	good
EPI_ISL_7972330	20A	good
EPI_ISL_7972331	20A	good
EPI_ISL_7972332	20H (Beta, V2)	good
EPI_ISL_7972333	20H (Beta, V2)	good
EPI_ISL_7972334	20H (Beta, V2)	good
EPI_ISL_7972335	20H (Beta, V2)	good
EPI_ISL_7972336	20H (Beta, V2)	good
EPI_ISL_7972337	20A	good
EPI_ISL_7972338	20A	good
EPI_ISL_7972339	20H (Beta, V2)	good
EPI_ISL_7972341	20H (Beta, V2)	good
EPI_ISL_7972342	20H (Beta, V2)	good
EPI_ISL_7972343	20H (Beta, V2)	good
EPI_ISL_7972344	20A	good
EPI_ISL_7972345	20A	good
EPI_ISL_7972346	20H (Beta, V2)	good
EPI_ISL_7972347	20H (Beta, V2)	good
EPI_ISL_7972348	20H (Beta, V2)	good
EPI_ISL_7972349	20A	good
EPI_ISL_7972350	20H (Beta, V2)	good
EPI_ISL_7972351	20H (Beta, V2)	good
EPI_ISL_7972352	20H (Beta, V2)	good
EPI_ISL_7972353	20A	good
EPI_ISL_7972355	20H (Beta, V2)	good
EPI_ISL_7972356	20H (Beta, V2)	good
EPI_ISL_7972357	20A	good
EPI_ISL_7972358	20A	good
EPI_ISL_7972359	20A	mediocre
EPI_ISL_7972360	20A	good
EPI_ISL_7972361	20A	good
EPI_ISL_7972362	20A	good
EPI_ISL_7972363	20A	good
EPI_ISL_7972364	20A	good
EPI_ISL_7972365	20A	good
EPI_ISL_7972366	20A	good
EPI_ISL_7972367	20A	good
EPI_ISL_7972368	20A	good
EPI_ISL_7972369	20A	good
EPI_ISL_7972370	20A	good
EPI_ISL_7972371	20A	good
EPI_ISL_7972372	20A	good
EPI_ISL_7972373	20A	good
EPI_ISL_7972374	20A	good
EPI_ISL_7972375	20A	good
EPI_ISL_7972376	20A	good
EPI_ISL_7972377	20A	good
EPI_ISL_7972378	20A	good
EPI_ISL_7972379	20A	good
EPI_ISL_7972380	20A	good
EPI_ISL_7972381	20A	good
EPI_ISL_7972382	20A	good
EPI_ISL_7972383	20A	good
EPI_ISL_7972384	20A	good
EPI_ISL_7972385	20A	good
EPI_ISL_7972386	20A	good
EPI_ISL_7982611	20A	mediocre
EPI_ISL_7982612	20A	mediocre
EPI_ISL_7982613	20A	mediocre
EPI_ISL_7987087	21J (Delta)	good
EPI_ISL_7987088	21J (Delta)	good
EPI_ISL_7987089	21J (Delta)	good
EPI_ISL_7987090	21I (Delta)	good
EPI_ISL_7987091	21J (Delta)	good
EPI_ISL_7987092	21I (Delta)	good
EPI_ISL_7987093	21I (Delta)	good
EPI_ISL_7987094	21J (Delta)	good
EPI_ISL_7987095	21J (Delta)	good
EPI_ISL_7987096	21J (Delta)	good
EPI_ISL_7987097	21I (Delta)	good
EPI_ISL_7987098	21J (Delta)	good
EPI_ISL_7987099	21J (Delta)	good
EPI_ISL_7987100	21J (Delta)	good
EPI_ISL_7987101	21J (Delta)	good
EPI_ISL_7987102	21J (Delta)	good
EPI_ISL_7987103	21J (Delta)	good
EPI_ISL_7987104	21I (Delta)	good
EPI_ISL_7987105	21J (Delta)	good
EPI_ISL_7987106	21J (Delta)	good
EPI_ISL_7987107	21J (Delta)	good
EPI_ISL_7987108	21J (Delta)	good
EPI_ISL_7987109	21J (Delta)	good
EPI_ISL_8083665	21I (Delta)	good
EPI_ISL_8083666	21J (Delta)	good
EPI_ISL_8083667	21I (Delta)	good
EPI_ISL_8083668	21I (Delta)	good
EPI_ISL_8083669	21I (Delta)	good
EPI_ISL_8083670	21J (Delta)	good
EPI_ISL_8083671	21I (Delta)	good
EPI_ISL_8083672	21J (Delta)	good
EPI_ISL_8083673	21I (Delta)	good
EPI_ISL_8083674	21I (Delta)	good
EPI_ISL_8083675	21I (Delta)	good
EPI_ISL_8083676	21I (Delta)	good
EPI_ISL_8083677	21I (Delta)	good
EPI_ISL_8083678	21J (Delta)	good
EPI_ISL_8083679	21J (Delta)	good
EPI_ISL_8083680	21J (Delta)	good
EPI_ISL_8083681	21I (Delta)	good
EPI_ISL_8083682	21I (Delta)	good
EPI_ISL_8083683	21I (Delta)	good
EPI_ISL_8083684	21I (Delta)	good
EPI_ISL_8083685	21I (Delta)	good
EPI_ISL_8083686	21J (Delta)	good
EPI_ISL_8083687	21I (Delta)	good
EPI_ISL_8083688	21J (Delta)	good
EPI_ISL_8083689	21J (Delta)	good
EPI_ISL_8083690	21I (Delta)	good
EPI_ISL_8083691	21I (Delta)	good
EPI_ISL_8083692	21I (Delta)	good
EPI_ISL_8083693	21I (Delta)	good
EPI_ISL_8083694	21I (Delta)	good
EPI_ISL_8083695	21J (Delta)	good
EPI_ISL_8083696	21I (Delta)	good
EPI_ISL_8083697	21I (Delta)	good
EPI_ISL_8083698	21I (Delta)	good
EPI_ISL_8083699	21J (Delta)	good
EPI_ISL_8083700	21J (Delta)	good
EPI_ISL_8083701	21I (Delta)	good
EPI_ISL_8083702	21J (Delta)	good
